timestamp, pid, used_gpu_memory [MiB]
2025/07/05 19:49:25.992, 72129, 16038 MiB
2025/07/05 19:49:27.992, 72129, 16040 MiB
2025/07/05 19:49:29.993, 72129, 16040 MiB
2025/07/05 19:49:31.993, 72129, 16040 MiB
2025/07/05 19:49:33.994, 72129, 16040 MiB
2025/07/05 19:49:35.994, 72129, 16040 MiB
2025/07/05 19:49:37.995, 72129, 16040 MiB
2025/07/05 19:49:39.995, 72129, 16040 MiB
2025/07/05 19:49:41.996, 72129, 16040 MiB
2025/07/05 19:49:44.001, 72129, 16040 MiB
2025/07/05 19:49:46.002, 72129, 16040 MiB
2025/07/05 19:49:48.002, 72129, 24906 MiB
2025/07/05 19:49:50.003, 72129, 46754 MiB
2025/07/05 19:49:52.003, 72129, 46758 MiB
2025/07/05 19:49:54.006, 72129, 74574 MiB
2025/07/05 19:49:56.007, 72129, 74574 MiB
2025/07/05 19:49:58.007, 72129, 74574 MiB
2025/07/05 19:50:00.008, 72129, 74574 MiB
2025/07/05 19:50:02.008, 72129, 54974 MiB
2025/07/05 19:50:04.651, 72129, 54978 MiB
2025/07/05 19:50:06.652, 72129, 54978 MiB
2025/07/05 19:50:08.652, 72129, 54978 MiB
2025/07/05 19:50:10.653, 72129, 70064 MiB
2025/07/05 19:50:12.653, 72129, 70064 MiB
2025/07/05 19:50:14.654, 72129, 46328 MiB
2025/07/05 19:50:16.654, 72129, 46328 MiB
2025/07/05 19:50:18.655, 72129, 46328 MiB
2025/07/05 19:50:20.655, 72129, 46328 MiB
2025/07/05 19:50:22.656, 72129, 46328 MiB
2025/07/05 19:50:24.656, 72129, 46328 MiB
2025/07/05 19:50:26.657, 72129, 46328 MiB
2025/07/05 19:50:28.657, 72129, 46328 MiB
2025/07/05 19:50:30.658, 72129, 64436 MiB
2025/07/05 19:50:32.658, 72129, 64436 MiB
2025/07/05 19:50:34.659, 72129, 52372 MiB
2025/07/05 19:50:36.659, 72129, 52372 MiB
2025/07/05 19:50:38.660, 72129, 52372 MiB
2025/07/05 19:50:40.660, 72129, 52374 MiB
2025/07/05 19:50:42.661, 72129, 52374 MiB
2025/07/05 19:50:44.661, 72129, 52374 MiB
2025/07/05 19:50:46.662, 72129, 52374 MiB
2025/07/05 19:50:48.662, 72129, 52374 MiB
2025/07/05 19:50:50.662, 72129, 52374 MiB
2025/07/05 19:50:52.663, 72129, 52374 MiB
