timestamp, pid, used_gpu_memory [MiB]
2025/07/05 21:09:08.779, 37522, 414 MiB
2025/07/05 21:09:10.780, 37521, 416 MiB
2025/07/05 21:09:10.780, 37522, 416 MiB
2025/07/05 21:09:10.780, 37521, 416 MiB
2025/07/05 21:09:10.780, 37522, 416 MiB
2025/07/05 21:09:12.781, 37521, 416 MiB
2025/07/05 21:09:12.781, 37522, 416 MiB
2025/07/05 21:09:12.781, 37521, 416 MiB
2025/07/05 21:09:12.781, 37522, 416 MiB
2025/07/05 21:09:14.781, 37521, 33144 MiB
2025/07/05 21:09:14.781, 37522, 416 MiB
2025/07/05 21:09:14.782, 37521, 416 MiB
2025/07/05 21:09:14.782, 37522, 33144 MiB
2025/07/05 21:09:16.782, 37521, 33144 MiB
2025/07/05 21:09:16.782, 37522, 416 MiB
2025/07/05 21:09:16.783, 37521, 416 MiB
2025/07/05 21:09:16.783, 37522, 33144 MiB
2025/07/05 21:09:18.783, 37521, 33144 MiB
2025/07/05 21:09:18.783, 37522, 416 MiB
2025/07/05 21:09:18.784, 37521, 416 MiB
2025/07/05 21:09:18.784, 37522, 33144 MiB
2025/07/05 21:09:20.784, 37521, 33144 MiB
2025/07/05 21:09:20.784, 37522, 416 MiB
2025/07/05 21:09:20.785, 37521, 416 MiB
2025/07/05 21:09:20.785, 37522, 33144 MiB
2025/07/05 21:09:22.785, 37521, 33144 MiB
2025/07/05 21:09:22.785, 37522, 416 MiB
2025/07/05 21:09:22.785, 37521, 416 MiB
2025/07/05 21:09:22.785, 37522, 33144 MiB
2025/07/05 21:09:24.786, 37521, 33144 MiB
2025/07/05 21:09:24.786, 37522, 416 MiB
2025/07/05 21:09:24.786, 37521, 416 MiB
2025/07/05 21:09:24.786, 37522, 33144 MiB
2025/07/05 21:09:26.787, 37521, 33144 MiB
2025/07/05 21:09:26.787, 37522, 416 MiB
2025/07/05 21:09:26.787, 37521, 416 MiB
2025/07/05 21:09:26.787, 37522, 33144 MiB
2025/07/05 21:09:28.788, 37521, 33144 MiB
2025/07/05 21:09:28.788, 37522, 416 MiB
2025/07/05 21:09:28.788, 37521, 416 MiB
2025/07/05 21:09:28.788, 37522, 33144 MiB
2025/07/05 21:09:30.789, 37521, 33144 MiB
2025/07/05 21:09:30.789, 37522, 416 MiB
2025/07/05 21:09:30.789, 37521, 416 MiB
2025/07/05 21:09:30.789, 37522, 33144 MiB
2025/07/05 21:09:32.790, 37521, 33144 MiB
2025/07/05 21:09:32.790, 37522, 416 MiB
2025/07/05 21:09:32.790, 37521, 416 MiB
2025/07/05 21:09:32.790, 37522, 33144 MiB
2025/07/05 21:09:34.790, 37521, 33144 MiB
2025/07/05 21:09:34.790, 37522, 416 MiB
2025/07/05 21:09:34.791, 37521, 416 MiB
2025/07/05 21:09:34.791, 37522, 33144 MiB
2025/07/05 21:09:36.791, 37521, 33144 MiB
2025/07/05 21:09:36.791, 37522, 416 MiB
2025/07/05 21:09:36.792, 37521, 416 MiB
2025/07/05 21:09:36.792, 37522, 33144 MiB
2025/07/05 21:09:38.792, 37521, 33144 MiB
2025/07/05 21:09:38.792, 37522, 416 MiB
2025/07/05 21:09:38.793, 37521, 416 MiB
2025/07/05 21:09:38.793, 37522, 33144 MiB
2025/07/05 21:09:40.793, 37521, 33144 MiB
2025/07/05 21:09:40.793, 37522, 416 MiB
2025/07/05 21:09:40.794, 37521, 416 MiB
2025/07/05 21:09:40.794, 37522, 33144 MiB
2025/07/05 21:09:42.794, 37521, 33144 MiB
2025/07/05 21:09:42.794, 37522, 416 MiB
2025/07/05 21:09:42.795, 37521, 416 MiB
2025/07/05 21:09:42.795, 37522, 33144 MiB
2025/07/05 21:09:44.795, 37521, 33144 MiB
2025/07/05 21:09:44.795, 37522, 416 MiB
2025/07/05 21:09:44.795, 37521, 416 MiB
2025/07/05 21:09:44.795, 37522, 33144 MiB
2025/07/05 21:09:46.796, 37521, 33144 MiB
2025/07/05 21:09:46.796, 37522, 416 MiB
2025/07/05 21:09:46.796, 37521, 416 MiB
2025/07/05 21:09:46.796, 37522, 33144 MiB
2025/07/05 21:09:48.797, 37521, 33144 MiB
2025/07/05 21:09:48.797, 37522, 416 MiB
2025/07/05 21:09:48.797, 37521, 416 MiB
2025/07/05 21:09:48.797, 37522, 33144 MiB
2025/07/05 21:09:50.798, 37521, 33144 MiB
2025/07/05 21:09:50.798, 37522, 416 MiB
2025/07/05 21:09:50.798, 37521, 416 MiB
2025/07/05 21:09:50.798, 37522, 33144 MiB
2025/07/05 21:09:52.798, 37521, 33144 MiB
2025/07/05 21:09:52.798, 37522, 416 MiB
2025/07/05 21:09:52.799, 37521, 416 MiB
2025/07/05 21:09:52.799, 37522, 33144 MiB
2025/07/05 21:09:54.799, 37521, 33144 MiB
2025/07/05 21:09:54.799, 37522, 416 MiB
2025/07/05 21:09:54.800, 37521, 416 MiB
2025/07/05 21:09:54.800, 37522, 33144 MiB
2025/07/05 21:09:56.800, 37521, 33144 MiB
2025/07/05 21:09:56.800, 37522, 416 MiB
2025/07/05 21:09:56.801, 37521, 416 MiB
2025/07/05 21:09:56.801, 37522, 33144 MiB
2025/07/05 21:09:58.805, 37521, 33144 MiB
2025/07/05 21:09:58.805, 37522, 416 MiB
2025/07/05 21:09:58.805, 37521, 416 MiB
2025/07/05 21:09:58.805, 37522, 33144 MiB
2025/07/05 21:10:00.805, 37521, 33144 MiB
2025/07/05 21:10:00.805, 37522, 416 MiB
2025/07/05 21:10:00.806, 37521, 416 MiB
2025/07/05 21:10:00.806, 37522, 33144 MiB
2025/07/05 21:10:02.806, 37521, 33144 MiB
2025/07/05 21:10:02.806, 37522, 416 MiB
2025/07/05 21:10:02.807, 37521, 416 MiB
2025/07/05 21:10:02.807, 37522, 33144 MiB
2025/07/05 21:10:04.807, 37521, 33144 MiB
2025/07/05 21:10:04.807, 37522, 416 MiB
2025/07/05 21:10:04.808, 37521, 416 MiB
2025/07/05 21:10:04.808, 37522, 33144 MiB
2025/07/05 21:10:06.808, 37521, 33144 MiB
2025/07/05 21:10:06.808, 37522, 416 MiB
2025/07/05 21:10:06.809, 37521, 416 MiB
2025/07/05 21:10:06.809, 37522, 33144 MiB
2025/07/05 21:10:08.809, 37521, 33144 MiB
2025/07/05 21:10:08.809, 37522, 416 MiB
2025/07/05 21:10:08.810, 37521, 416 MiB
2025/07/05 21:10:08.810, 37522, 33144 MiB
2025/07/05 21:10:10.810, 37521, 33144 MiB
2025/07/05 21:10:10.810, 37522, 416 MiB
2025/07/05 21:10:10.810, 37521, 416 MiB
2025/07/05 21:10:10.810, 37522, 33144 MiB
2025/07/05 21:10:12.811, 37521, 33144 MiB
2025/07/05 21:10:12.811, 37522, 416 MiB
2025/07/05 21:10:12.811, 37521, 416 MiB
2025/07/05 21:10:12.811, 37522, 33144 MiB
2025/07/05 21:10:14.812, 37521, 33144 MiB
2025/07/05 21:10:14.812, 37522, 416 MiB
2025/07/05 21:10:14.812, 37521, 416 MiB
2025/07/05 21:10:14.812, 37522, 33144 MiB
2025/07/05 21:10:16.813, 37521, 33144 MiB
2025/07/05 21:10:16.813, 37522, 416 MiB
2025/07/05 21:10:16.813, 37521, 416 MiB
2025/07/05 21:10:16.813, 37522, 33144 MiB
2025/07/05 21:10:18.813, 37521, 33144 MiB
2025/07/05 21:10:18.813, 37522, 416 MiB
2025/07/05 21:10:18.814, 37521, 416 MiB
2025/07/05 21:10:18.814, 37522, 33144 MiB
2025/07/05 21:10:20.814, 37521, 33144 MiB
2025/07/05 21:10:20.814, 37522, 416 MiB
2025/07/05 21:10:20.815, 37521, 416 MiB
2025/07/05 21:10:20.815, 37522, 33144 MiB
2025/07/05 21:10:22.815, 37521, 33144 MiB
2025/07/05 21:10:22.815, 37522, 416 MiB
2025/07/05 21:10:22.816, 37521, 416 MiB
2025/07/05 21:10:22.816, 37522, 33144 MiB
2025/07/05 21:10:24.816, 37521, 33144 MiB
2025/07/05 21:10:24.816, 37522, 416 MiB
2025/07/05 21:10:24.817, 37521, 416 MiB
2025/07/05 21:10:24.817, 37522, 33144 MiB
2025/07/05 21:10:26.817, 37521, 33144 MiB
2025/07/05 21:10:26.817, 37522, 416 MiB
2025/07/05 21:10:26.817, 37521, 416 MiB
2025/07/05 21:10:26.817, 37522, 33144 MiB
2025/07/05 21:10:28.818, 37521, 33144 MiB
2025/07/05 21:10:28.818, 37522, 416 MiB
2025/07/05 21:10:28.818, 37521, 416 MiB
2025/07/05 21:10:28.818, 37522, 33144 MiB
2025/07/05 21:10:30.819, 37521, 33266 MiB
2025/07/05 21:10:30.819, 37522, 416 MiB
2025/07/05 21:10:30.820, 37521, 416 MiB
2025/07/05 21:10:30.820, 37522, 33266 MiB
2025/07/05 21:10:32.823, 37521, 34976 MiB
2025/07/05 21:10:32.823, 37522, 416 MiB
2025/07/05 21:10:32.823, 37521, 416 MiB
2025/07/05 21:10:32.823, 37522, 36694 MiB
2025/07/05 21:10:34.824, 37521, 36908 MiB
2025/07/05 21:10:34.824, 37522, 416 MiB
2025/07/05 21:10:34.824, 37521, 416 MiB
2025/07/05 21:10:34.824, 37522, 39734 MiB
2025/07/05 21:10:36.825, 37521, 41906 MiB
2025/07/05 21:10:36.825, 37522, 416 MiB
2025/07/05 21:10:36.825, 37521, 416 MiB
2025/07/05 21:10:36.825, 37522, 39734 MiB
2025/07/05 21:10:38.826, 37521, 41906 MiB
2025/07/05 21:10:38.826, 37522, 416 MiB
2025/07/05 21:10:38.826, 37521, 416 MiB
2025/07/05 21:10:38.826, 37522, 44790 MiB
2025/07/05 21:10:40.827, 37521, 48862 MiB
2025/07/05 21:10:40.827, 37522, 416 MiB
2025/07/05 21:10:40.827, 37521, 416 MiB
2025/07/05 21:10:40.827, 37522, 44792 MiB
2025/07/05 21:10:42.828, 37521, 48862 MiB
2025/07/05 21:10:42.828, 37522, 416 MiB
2025/07/05 21:10:42.828, 37521, 416 MiB
2025/07/05 21:10:42.828, 37522, 44792 MiB
2025/07/05 21:10:44.829, 37521, 48862 MiB
2025/07/05 21:10:44.829, 37522, 416 MiB
2025/07/05 21:10:44.829, 37521, 416 MiB
2025/07/05 21:10:44.829, 37522, 44792 MiB
2025/07/05 21:10:46.830, 37521, 56182 MiB
2025/07/05 21:10:46.830, 37522, 416 MiB
2025/07/05 21:10:46.830, 37521, 416 MiB
2025/07/05 21:10:46.830, 37522, 44792 MiB
2025/07/05 21:10:48.831, 37521, 56182 MiB
2025/07/05 21:10:48.831, 37522, 416 MiB
2025/07/05 21:10:48.831, 37521, 416 MiB
2025/07/05 21:10:48.831, 37522, 51000 MiB
2025/07/05 21:10:50.832, 37521, 56266 MiB
2025/07/05 21:10:50.832, 37522, 416 MiB
2025/07/05 21:10:50.832, 37521, 416 MiB
2025/07/05 21:10:50.832, 37522, 51000 MiB
2025/07/05 21:10:52.833, 37521, 56266 MiB
2025/07/05 21:10:52.833, 37522, 416 MiB
2025/07/05 21:10:52.833, 37521, 416 MiB
2025/07/05 21:10:52.833, 37522, 51000 MiB
2025/07/05 21:10:54.834, 37521, 56266 MiB
2025/07/05 21:10:54.834, 37522, 416 MiB
2025/07/05 21:10:54.834, 37521, 416 MiB
2025/07/05 21:10:54.834, 37522, 51000 MiB
2025/07/05 21:10:56.835, 37521, 56266 MiB
2025/07/05 21:10:56.835, 37522, 416 MiB
2025/07/05 21:10:56.835, 37521, 416 MiB
2025/07/05 21:10:56.835, 37522, 51000 MiB
2025/07/05 21:10:58.836, 37521, 56266 MiB
2025/07/05 21:10:58.836, 37522, 416 MiB
2025/07/05 21:10:58.836, 37521, 416 MiB
2025/07/05 21:10:58.836, 37522, 51000 MiB
2025/07/05 21:11:00.837, 37521, 56266 MiB
2025/07/05 21:11:00.837, 37522, 416 MiB
2025/07/05 21:11:00.837, 37521, 416 MiB
2025/07/05 21:11:00.837, 37522, 58544 MiB
2025/07/05 21:11:02.837, 37521, 56266 MiB
2025/07/05 21:11:02.837, 37522, 416 MiB
2025/07/05 21:11:02.838, 37521, 416 MiB
2025/07/05 21:11:02.838, 37522, 58544 MiB
2025/07/05 21:11:04.838, 37521, 56266 MiB
2025/07/05 21:11:04.838, 37522, 416 MiB
2025/07/05 21:11:04.839, 37521, 416 MiB
2025/07/05 21:11:04.839, 37522, 58544 MiB
2025/07/05 21:11:06.839, 37521, 56266 MiB
2025/07/05 21:11:06.839, 37522, 416 MiB
2025/07/05 21:11:06.840, 37521, 416 MiB
2025/07/05 21:11:06.840, 37522, 58574 MiB
2025/07/05 21:11:08.840, 37521, 56266 MiB
2025/07/05 21:11:08.840, 37522, 416 MiB
2025/07/05 21:11:08.841, 37521, 416 MiB
2025/07/05 21:11:08.841, 37522, 58574 MiB
2025/07/05 21:11:10.841, 37521, 56266 MiB
2025/07/05 21:11:10.841, 37522, 416 MiB
2025/07/05 21:11:10.842, 37521, 416 MiB
2025/07/05 21:11:10.842, 37522, 58574 MiB
2025/07/05 21:11:12.842, 37521, 56266 MiB
2025/07/05 21:11:12.842, 37522, 416 MiB
2025/07/05 21:11:12.843, 37521, 416 MiB
2025/07/05 21:11:12.843, 37522, 58574 MiB
2025/07/05 21:11:14.843, 37521, 56266 MiB
2025/07/05 21:11:14.843, 37522, 416 MiB
2025/07/05 21:11:14.844, 37521, 416 MiB
2025/07/05 21:11:14.844, 37522, 58574 MiB
2025/07/05 21:11:16.844, 37521, 56266 MiB
2025/07/05 21:11:16.844, 37522, 416 MiB
2025/07/05 21:11:16.845, 37521, 416 MiB
2025/07/05 21:11:16.845, 37522, 58574 MiB
2025/07/05 21:11:18.845, 37521, 56266 MiB
2025/07/05 21:11:18.845, 37522, 416 MiB
2025/07/05 21:11:18.846, 37521, 416 MiB
2025/07/05 21:11:18.846, 37522, 67630 MiB
2025/07/05 21:11:20.846, 37521, 56266 MiB
2025/07/05 21:11:20.846, 37522, 416 MiB
2025/07/05 21:11:20.846, 37521, 416 MiB
2025/07/05 21:11:20.846, 37522, 67630 MiB
2025/07/05 21:11:22.847, 37521, 56266 MiB
2025/07/05 21:11:22.847, 37522, 416 MiB
2025/07/05 21:11:22.847, 37521, 416 MiB
2025/07/05 21:11:22.847, 37522, 67630 MiB
2025/07/05 21:11:24.848, 37521, 56266 MiB
2025/07/05 21:11:24.848, 37522, 416 MiB
2025/07/05 21:11:24.848, 37521, 416 MiB
2025/07/05 21:11:24.848, 37522, 67630 MiB
2025/07/05 21:11:26.849, 37521, 56266 MiB
2025/07/05 21:11:26.849, 37522, 416 MiB
2025/07/05 21:11:26.849, 37521, 416 MiB
2025/07/05 21:11:26.849, 37522, 67630 MiB
2025/07/05 21:11:28.850, 37521, 56266 MiB
2025/07/05 21:11:28.850, 37522, 416 MiB
2025/07/05 21:11:28.850, 37521, 416 MiB
2025/07/05 21:11:28.850, 37522, 67630 MiB
2025/07/05 21:11:30.851, 37521, 56266 MiB
2025/07/05 21:11:30.851, 37522, 416 MiB
2025/07/05 21:11:30.851, 37521, 416 MiB
2025/07/05 21:11:30.851, 37522, 67630 MiB
2025/07/05 21:11:32.852, 37521, 56266 MiB
2025/07/05 21:11:32.852, 37522, 416 MiB
2025/07/05 21:11:32.852, 37521, 416 MiB
2025/07/05 21:11:32.852, 37522, 67630 MiB
2025/07/05 21:11:34.853, 37521, 56266 MiB
2025/07/05 21:11:34.853, 37522, 416 MiB
2025/07/05 21:11:34.853, 37521, 416 MiB
2025/07/05 21:11:34.853, 37522, 67630 MiB
2025/07/05 21:11:36.854, 37521, 56266 MiB
2025/07/05 21:11:36.854, 37522, 416 MiB
2025/07/05 21:11:36.854, 37521, 416 MiB
2025/07/05 21:11:36.854, 37522, 67630 MiB
2025/07/05 21:11:38.855, 37521, 56266 MiB
2025/07/05 21:11:38.855, 37522, 416 MiB
2025/07/05 21:11:38.855, 37521, 416 MiB
